sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,product_online,tax_class_name,visibility,price,meta_title,brand,europe_delivery_cost,supplier,uk_delivery_cost,world_delivery_cost,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_oms_product
CN22/250,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,250 x CN22 Customs Labels,A roll of 250 CN22 Customs labels (CN22/250),A roll of 250 CN22 Customs labels (CN22/250),1,Taxable Goods,Catalog Search,0,250 x CN22 Customs Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
CN22W/250,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,250 x CN22 Customs Labels - Welsh,A roll of 250 CN22 Customs labels Welsh (CN22W/250),A roll of 250 CN22 Customs labels Welsh (CN22W/250),1,Taxable Goods,Catalog Search,0,250 x CN22 Customs Labels - Welsh,Royal Mail,0,galaxy,0,0,1,0,1,0,1
CN23/50,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,50 x CN23 High Value Customs Labels,A pack of 50 CN23 High Value Customs labels (CN23/50),A pack of 50 CN23 High Value Customs labels (CN23/50),1,Taxable Goods,Catalog Search,0,50 x CN23 High Value Customs Labels,Royal Mail,0,galaxy,0,0,1,0,1,0,1
CN23WELSH,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,50 x CN23 High Value Customs Labels - Welsh,A single CN23 High Value Customs label Welsh (CN23WELSH),A single CN23 High Value Customs label Welsh (CN23WELSH),1,Taxable Goods,Catalog Search,0,50 x CN23 High Value Customs Labels - Welsh,Royal Mail,0,galaxy,0,0,1,0,200,0,1
LN2,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed/General Mailing Containers,base,200 x Plastic Mailbag Ties,A pack of 200 black plastic bag ties to secure grey mail bags (LN2),A pack of 200 black plastic bag ties to secure grey mail bags (LN2),1,Taxable Goods,Catalog Search,0,200 x Plastic Mailbag Ties,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MBG,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers,base,Grey Mailbags,A single grey mail bag (PLEASE ORDER JUST ONE WEEKS SUPPLY MAXIMUM),A single grey mail bag (PLEASE ORDER JUST ONE WEEKS SUPPLY MAXIMUM),1,Taxable Goods,Catalog Search,0,Grey Mailbags,Royal Mail,0,ops,0,0,10,0,300,0,1
MISC1218,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x OCR/CBC letter template,(MISC1218),(MISC1218),1,Taxable Goods,Catalog Search,0,1 x OCR/CBC letter template,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MISC1311,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x Large Letter J Tool Landscape,(MISC1311),(MISC1311),1,Taxable Goods,Catalog Search,0,1 x Large Letter J Tool Landscape,Royal Mail,0,galaxy,0,0,1,0,5,0,1
MISC1462,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,1 x Mailmark letter guide,(MISC1462),(MISC1462),1,Taxable Goods,Catalog Search,0,1 x Mailmark letter guide,Royal Mail,0,galaxy,0,0,1,0,10,0,1
MP GREEN,Legacy,simple,Default Category/Online Mail Supplies/Franking Default Category/Online Mail Supplies/Franking/Pouches,base,2nd Class C4 Franking Pouch,A single Second Class green franking pouch to handle mail upto C4 size (MP GREEN),A single Second Class green franking pouch to handle mail upto C4 size (MP GREEN),1,Taxable Goods,Catalog Search,0,2nd Class C4 Franking Pouch,Royal Mail,0,galaxy,0,0,1,0,25,0,1
MP RED,Legacy,simple,Default Category/Online Mail Supplies/Franking Default Category/Online Mail Supplies/Franking/Pouches,base,1st Class C4 Franking Pouch,A single First Class red franking pouch to handle mail up to C4 size (MP RED),A single First Class red franking pouch to handle mail up to C4 size (MP RED),1,Taxable Goods,Catalog Search,0,1st Class C4 Franking Pouch,Royal Mail,0,galaxy,0,0,1,0,25,0,1
MP WHITE,Legacy,simple,Default Category/Online Mail Supplies/Franking Default Category/Online Mail Supplies/Franking/Other Pouches Default Category/Online Mail Supplies/International/Other Pouches,base,International Franking Pouch,A single white pouch for use when sending international franked mail (MP WHITE),A single white pouch for use when sending international franked mail (MP WHITE),1,Taxable Goods,Catalog Search,0,International Franking Pouch,Royal Mail,0,galaxy,0,0,1,0,25,0,1
MTY,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers,base,Trays,A single tray for handling machinable mail only( ONLY ORDER THIS ITEM IF YOU HAVE YOUR MAIL COLLECTED IN MAILTRAYS BY ROYAL MAIL.),A single tray for handling machinable mail only( ONLY ORDER THIS ITEM IF YOU HAVE YOUR MAIL COLLECTED IN MAILTRAYS BY ROYAL MAIL.),1,Taxable Goods,Catalog Search,0,Trays,Royal Mail,0,ops,0,0,10,0,300,0,1
MYO,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers,base,York Containers,A single york container for handling trays and mail bags ( ONLY ORDER THIS ITEM IF YOU HAVE A ROYAL MAIL DAILY COLLECTION OF YORK CONTAINERS),A single york container for handling trays and mail bags ( ONLY ORDER THIS ITEM IF YOU HAVE A ROYAL MAIL DAILY COLLECTION OF YORK CONTAINERS),1,Taxable Goods,Catalog Search,0,York Containers,Royal Mail,0,ops,0,0,1,0,50,0,1
OE1057,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Custom Labels,base,Plastic Envelope for use with the CN23 Customs Label,A single plastic envelope for use with the CN23 Customs label (OE1057),A single plastic envelope for use with the CN23 Customs label (OE1057),1,Taxable Goods,Catalog Search,0,Plastic Envelope for use with the CN23 Customs Label,Royal Mail,0,galaxy,0,0,1,0,200,0,1
P1038,Legacy,simple,Default Category/Online Mail Supplies/Royal Mail Signed For,base,Signed For Posting Book,A single recorded Signed For posting book (P1038),A single recorded Signed For posting book (P1038),1,Taxable Goods,Catalog Search,0,Signed For Posting Book,Royal Mail,0,galaxy,0,0,1,0,14,0,1
P2223/500,Legacy,simple,Default Category/Online Mail Supplies/Royal Mail Signed For,base,500 x Signed For Labels Roll,A roll of 500 Signed For labels (P2223/500),A roll of 500 Signed For labels (P2223/500),1,Taxable Goods,Catalog Search,0,500 x Signed For Labels Roll,Royal Mail,0,galaxy,0,0,1,0,15,0,1
P2297/100,Legacy,simple,Default Category/Online Mail Supplies/Royal Mail Signed For,base,100 x Signed For Labels Pack,A pack of 100 Signed For flat labels (P2297/100),A pack of 100 Signed For flat labels (P2297/100),1,Taxable Goods,Catalog Search,0,100 x Signed For Labels Pack,Royal Mail,0,galaxy,0,0,1,0,30,0,1
P25A,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Air Mail Labels,base,Airmail Stickers,A sheet of 36 Airmail stickers (P25A),A sheet of 36 Airmail stickers (P25A),1,Taxable Goods,Catalog Search,0,Airmail Stickers,Royal Mail,0,galaxy,0,0,1,0,200,0,1
P25WELSH,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/Air Mail Labels,base,Airmail Stickers - Welsh,A sheet of 36 Airmail stickers Welsh (P25WELSH),A sheet of 36 Airmail stickers Welsh (P25WELSH),1,Taxable Goods,Catalog Search,0,Airmail Stickers - Welsh,Royal Mail,0,galaxy,0,0,1,0,60,0,1
P4558,Legacy,simple,Default Category/Online Mail Supplies/General Mailing Containers,base,Articles for the Blind label,available in sheets of 15 (P4558),available in sheets of 15 (P4558),1,Taxable Goods,Catalog Search,0,Articles for the Blind label,Royal Mail,0,galaxy,0,0,1,0,50,0,1
P4671,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing Default Category/Online Mail Supplies/Royal Mail 24 and 48,base,750 x Customer Collection Receipts,A box of 750 customer collection receipts (P4671),A box of 750 customer collection receipts (P4671),1,Taxable Goods,Catalog Search,0,750 x Customer Collection Receipts,Royal Mail,0,galaxy,0,0,1,0,50,0,1
P4723/500,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Signed Labels,base,500 x International Signed barcoded labels on a roll (P4723/500),for use with Despatch Receipt Book,for use with Despatch Receipt Book,1,Taxable Goods,Catalog Search,0,500 x International Signed barcoded labels on a roll (P4723/500),Royal Mail,0,galaxy,0,0,1,0,2,0,1
P4939CT,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,2000 x White Bag Labels Box,A box of 2000 white thermal bag labels (P4939CT),A box of 2000 white thermal bag labels (P4939CT),1,Taxable Goods,Catalog Search,0,2000 x White Bag Labels Box,Royal Mail,0,galaxy,0,0,1,0,336,0,1
P5000CT,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing,base,2000 x Yellow Bag Labels Box,A box of 2000 yellow thermal bag labels (P5000CT),A box of 2000 yellow thermal bag labels (P5000CT),1,Taxable Goods,Catalog Search,0,2000 x Yellow Bag Labels Box,Royal Mail,0,galaxy,0,0,1,0,336,0,1
P5067CT,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing Default Category/Online Mail Supplies/Royal Mail 24 and 48,base,2000 x 1st Class PPI Bag Labels,A box of 2000 1st Class PPI bag Labels (P5067CT),A box of 2000 1st Class PPI bag Labels (P5067CT),1,Taxable Goods,Catalog Search,0,2000 x 1st Class PPI Bag Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P5068CT,Legacy,simple,Default Category/Online Mail Supplies/Marketing General and Publishing Default Category/Online Mail Supplies/Royal Mail 24 and 48,base,2000 x 2nd Class PPI Bag Labels,A box of 2000 2nd Class PPI bag Labels (P5068CT),A box of 2000 2nd Class PPI bag Labels (P5068CT),1,Taxable Goods,Catalog Search,0,2000 x 2nd Class PPI Bag Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P5084,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,Consignment Notes Book (P5084),A single book of 50 consignment notes. For use with International Business Mail Zero Sort Premium,A single book of 50 consignment notes. For use with International Business Mail Zero Sort Premium,1,Taxable Goods,Catalog Search,0,Consignment Notes Book (P5084),Royal Mail,0,galaxy,0,0,1,0,5,0,1
P5627C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,50 x Zone & Format Priority Bag Labels,A pack of 50 International Zone and Format Priority bag labels (P5627C),A pack of 50 International Zone and Format Priority bag labels (P5627C),1,Taxable Goods,Catalog Search,0,50 x Zone & Format Priority Bag Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P5629C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,50 x Zone & Format Sort Economy Bag Labels,A pack of 50 International Zone and Format Sort Economy bag labels (P5629C),A pack of 50 International Zone and Format Sort Economy bag labels (P5629C),1,Taxable Goods,Catalog Search,0,50 x Zone & Format Sort Economy Bag Labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P5631C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,50 x International Zero Sort Premium bag labels,Supplied in bundles of 50 (P5631C),Supplied in bundles of 50 (P5631C),1,Taxable Goods,Catalog Search,0,50 x International Zero Sort Premium bag labels,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P5640C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,Max Sort Residue – Priority labels,Chorus customer only - supplied in bundles of 50 (P5640C),Chorus customer only - supplied in bundles of 50 (P5640C),1,Taxable Goods,Catalog Search,0,Max Sort Residue – Priority labels,Royal Mail,0,galaxy,0,0,1,0,300,0,1
P5640CA,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/International Business Services,base,Business Services Max Sort Residue - Economy/Standard Bag Labels,Supplied in bundles of 50 (P5640CA),Supplied in bundles of 50 (P5640CA),1,Taxable Goods,Catalog Search,0,Business Services Max Sort Residue - Economy/Standard Bag Labels,Royal Mail,0,galaxy,0,0,1,0,300,0,1
P6041,Legacy,simple,Default Category/Online Mail Supplies/Parcel Shipping Solutions Default Category/Online Mail Supplies/Special Delivery Guaranteed/Parcel Shipping Solutions Default Category/Online Mail Supplies/Royal Mail Signed For/Parcel Shipping Solutions,base,Signed For Flash Labels Roll,A roll of 500 Signed For flash labels  No barcode (P6041),A roll of 500 Signed For flash labels  No barcode (P6041),1,Taxable Goods,Catalog Search,0,Signed For Flash Labels Roll,Royal Mail,0,galaxy,0,0,1,0,5,0,1
P6138C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/On Account Services,base,International Standard bag labels,A bundle of 50 (P6138C),A bundle of 50 (P6138C),1,Taxable Goods,Catalog Search,0,International Standard bag labels,Royal Mail,0,galaxy,0,0,1,0,20,0,1
P6139C,Legacy,simple,Default Category/Online Mail Supplies/International Default Category/Online Mail Supplies/International/On Account Services,base,International Economy bag labels,A bundle of 50 (P6139C),A bundle of 50 (P6139C),1,Taxable Goods,Catalog Search,0,International Economy bag labels,Royal Mail,0,galaxy,0,0,1,0,40,0,1
P6270/500,Legacy,simple,Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed/Special Delivery Guaranteed Labels,base,500 x 9am Labels Roll,A roll of 500 Special Delivery Guaranteed by 9am labels (P6270/500),A roll of 500 Special Delivery Guaranteed by 9am labels (P6270/500),1,Taxable Goods,Catalog Search,0,500 x 9am Labels Roll,Royal Mail,0,galaxy,0,0,1,0,2,0,1
P6273,Legacy,simple,Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed/Special Delivery Guaranteed Labels,base,1000 x Special Delivery Guaranteed by 9am flash labels,A roll of 1000 SD 9am flash labels (P6273),A roll of 1000 SD 9am flash labels (P6273),1,Taxable Goods,Catalog Search,0,1000 x Special Delivery Guaranteed by 9am flash labels,Royal Mail,0,galaxy,0,0,1,0,5,0,1
P6276/100,Legacy,simple,Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed Labels,base,100 x 9am Labels Pack,A pack of 100 Special Delivery Guaranteed by 9am flat labels (P6276/100),A pack of 100 Special Delivery Guaranteed by 9am flat labels (P6276/100),1,Taxable Goods,Catalog Search,0,100 x 9am Labels Pack,Royal Mail,0,galaxy,0,0,1,0,10,0,1
P6312,Legacy,simple,Default Category/Online Mail Supplies/Special Delivery Guaranteed Default Category/Online Mail Supplies/Special Delivery Guaranteed/Special Delivery Guaranteed Polylopes,base,50 x C4 9am Envelopes - No COP,A pack of 50 Special Delivery 9:00am C4 poly bags with no certificate of posting attached. (P6312),A pack of 50 Special Delivery 9:00am C4 poly bags with no certificate of posting attached. (P6312),1,Taxable Goods,Catalog Search,0,50 x C4 9am Envelopes - No COP,Royal Mail,0,galaxy,0,0,1,0,1,0,1
